team_id,team_name,team_label
218,Zimbabwe Women,ZW
219,Colts Cricket Club,CCC
220,Eastern Province Under-19s,EPU
221,Essex Under-17s,EU
222,Amo Region,AR
223,Shropshire,S
224,Mumbai Under-19s,MU
225,Rajasthan,R
226,England,E
227,Ireland Under-19s,IU
228,KwaZulu-Natal Inland Under-19s,KIU
229,Border,B
230,Victoria,V
231,Zimbabwe Under-19s,ZU
232,Surrey 2nd XI,S2X
233,Delhi Under-19s,DU
234,Ragama Cricket Club,RCC
235,Queensland Country,QC
236,Jammu & Kashmir,J&K
237,Wellington Women,WW
238,Free State Under-19s,FSU
239,South Australia Under-19s,SAU
240,Kolkata Knight Riders,KKR
241,Vidarbha,V
242,Abbottabad Falcons,AF
243,Jamaica Under-19s,JU
244,Gujranwala Cricket Association,GCA
245,Scotland Under-17s,SU
246,Northerns Under-19s,NU
247,Chittagong Division,CD
248,Northamptonshire,N
249,Dorset,D
250,India Women,IW
251,Natal,N
252,Lahore Qalandars,LQ
253,Victoria Second XI,VSX
254,Easterns Under-13s,EU
255,Limpopo Under-13s,LU
256,Galle Cricket Club,GCC
257,Mashonaland A,MA
258,Pakistan Women,PW
259,Kurunegala Youth Cricket Club Women,KYCCW
260,Leeward Islands,LI
261,Otago,O
262,Afghanistan Under-19s,AU
263,Eastern Province Under-13s,EPU
264,Bihar,B
265,Nepal Under-19s,NU
266,Khan Research Labs,KRL
267,Abbottabad,A
268,Gloucestershire 2nd XI,G2X
269,Lankan Cricket Club,LCC
270,Netherlands Women,NW
271,Boland,B
272,Karachi,K
273,South Western Districts Under-19s,SWDU
274,Canada,C
275,Free State Under-17s,FSU
276,Western Australia Women,WAW
277,Easterns Under-19s,EU
278,North West,NW
279,Leicestershire 2nd XI,L2X
280,Berkshire,B
281,Sargodha,S
282,Kent,K
283,Moors Sports Club,MSC
284,Queensland,Q
285,Eagles,E
286,Kandy Youth Cricket Club,KYCC
287,Tamil Nadu Under-19s,TNU
288,Sialkot,S
289,India A,IA
290,Auckland Women,AW
291,United Arab Emirates,UAE
292,Odisha,O
293,Ireland Women,IW
294,Queensland Under-19s,QU
295,Somerset,S
296,Border Under-19s,BU
297,Australian Capital Territory Under-19s,ACTU
298,Jammu & Kashmir Under-19s,J&KU
299,Cambridge University,CU
300,Canterbury,C
301,Queensland Academy of Sport,QAoS
302,Northern Districts,ND
303,Western Australia,WA
304,Glamorgan,G
305,Sri Lanka Navy Sports Club,SLNSC
306,ICC World XI,IWX
307,Gloucestershire,G
308,Assam,A
309,KwaZulu-Natal Inland Under-17s,KIU
310,Manipur,M
311,Railways,R
312,Hampshire Cricket Board,HCB
313,Faisalabad Wolves,FW
314,Sussex 2nd XI,S2X
315,Habib Bank Limited,HBL
316,Madhya Pradesh,MP
317,Bengal Under-19s,BU
318,Nottinghamshire Cricket Board,NCB
319,Singha Sports Club,SSC
320,Cambridgeshire,C
321,Mumbai Indians,MI
322,Hyderabad Hawks,HH
323,Loughborough Marylebone Cricket Club University (England),LMCCU(
324,Sialkot Stallions,SS
325,Northerns,N
326,Uttar Pradesh,UP
327,Quetta,Q
328,Zimbabwe,Z
329,St Kitts and Nevis Patriots,SKaNP
330,New South Wales,NSW
331,Quetta Bears,QB
332,Trinidad & Tobago,T&T
333,Lahore,L
334,Essex 2nd XI,E2X
335,KwaZulu-Natal Under-13s,KU
336,Midlands,M
337,Australia A,AA
338,Islamabad Cricket Association,ICA
339,South Australia,SA
340,Bangladesh Under-19s,BU
341,Boland Under-13s,BU
342,Middlesex Cricket Board,MCB
343,Kent 2nd XI,K2X
344,Griqualand West Under-13s,GWU
345,Leeds/Bradford MCCU,LM
346,Netherlands,N
347,Sydney Thunder,ST
348,Lions,L
349,India Under-19s,IU
350,North West Under-15s,NWU
351,Western Province Under-15s,WPU
352,Mpumalanga Under-13s,MU
