match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,batting_team,chasing_team,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
58,5,21,['2017-05-21'],533,488,533,bat,533,488,2854,533,1,NA,NA,NA,NA
59,5,4,['2018-04-07'],533,534,534,field,533,534,9129,534,NA,1,NA,NA,NA
60,5,19,['2018-04-08'],239,403,239,field,403,239,2974,239,NA,6,NA,NA,NA
61,5,15,['2018-04-08'],52,283,52,field,283,52,9356,52,NA,4,NA,NA,NA
62,5,21,['2018-04-09'],26,423,26,field,423,26,2237,26,NA,9,NA,NA,NA
63,5,32,['2018-04-10'],534,52,534,field,52,534,5344,534,NA,5,NA,NA,NA
64,5,31,['2018-04-11'],423,403,403,field,423,403,2926,423,10,NA,NA,NA,NA
65,5,21,['2018-04-12'],26,533,26,field,533,26,3949,26,NA,1,NA,NA,NA
66,5,14,['2018-04-13'],283,239,283,field,239,283,3286,283,NA,4,NA,NA,NA
67,5,4,['2018-04-14'],533,403,403,field,533,403,6562,403,NA,7,NA,NA,NA
68,5,15,['2018-04-14'],52,26,26,field,52,26,7880,26,NA,5,NA,NA,NA
69,5,14,['2018-04-15'],283,423,283,field,423,283,2926,423,19,NA,NA,NA,NA
70,5,19,['2018-04-15'],239,534,534,field,239,534,9246,239,4,NA,NA,NA,NA
71,5,15,['2018-04-16'],52,403,403,field,52,403,2938,52,71,NA,NA,NA,NA
72,5,4,['2018-04-17'],533,283,283,field,533,283,2818,533,46,NA,NA,NA,NA
73,5,31,['2018-04-18'],423,52,52,field,423,52,2938,52,NA,7,NA,NA,NA
74,5,19,['2018-04-19'],239,26,239,bat,239,26,9246,239,15,NA,NA,NA,NA
75,5,3,['2018-04-20'],534,423,423,field,534,423,8034,534,64,NA,NA,NA,NA
76,5,15,['2018-04-21'],52,239,239,field,52,239,2974,239,NA,9,NA,NA,NA
77,5,14,['2018-04-21'],283,403,283,field,403,283,8304,283,NA,6,NA,NA,NA
78,5,21,['2018-04-22'],26,534,26,field,534,26,2864,534,4,NA,NA,NA,NA
79,5,31,['2018-04-22'],423,533,533,bat,533,423,9111,423,NA,3,NA,NA,NA
80,5,33,['2018-04-23'],403,239,403,field,239,403,2962,239,4,NA,NA,NA,NA
81,5,4,['2018-04-24'],533,26,533,field,26,533,3949,26,31,NA,NA,NA,NA
82,5,14,['2018-04-25'],283,534,534,field,283,534,2235,534,NA,5,NA,NA,NA
83,5,21,['2018-04-26'],26,239,239,field,26,239,2962,26,13,NA,NA,NA,NA
84,5,33,['2018-04-27'],403,52,52,field,403,52,2413,403,55,NA,NA,NA,NA
85,5,3,['2018-04-28'],534,533,533,field,534,533,2818,533,NA,8,NA,NA,NA
86,5,31,['2018-04-29'],423,26,26,bat,26,423,2049,26,11,NA,NA,NA,NA
87,5,14,['2018-04-29'],283,52,52,field,283,52,7672,52,NA,6,NA,NA,NA
88,5,3,['2018-04-30'],534,403,403,field,534,403,8034,534,13,NA,NA,NA,NA
89,5,14,['2018-05-01'],283,533,533,field,283,533,1997,283,14,NA,NA,NA,NA
90,5,33,['2018-05-02'],403,423,423,field,403,423,2852,403,4,NA,NA,NA,NA
91,5,15,['2018-05-03'],52,534,52,field,534,52,9356,52,NA,6,NA,NA,NA
92,5,34,['2018-05-04'],239,533,533,field,239,533,3291,533,NA,6,NA,NA,NA
93,5,3,['2018-05-05'],534,283,534,field,283,534,2481,534,NA,6,NA,NA,NA
94,5,21,['2018-05-05'],26,403,403,bat,403,26,3949,26,NA,7,NA,NA,NA
95,5,4,['2018-05-06'],533,52,52,field,533,52,2855,533,13,NA,NA,NA,NA
96,5,34,['2018-05-06'],239,423,239,field,423,239,604,239,NA,6,NA,NA,NA
97,5,21,['2018-05-07'],26,283,283,field,26,283,2049,26,5,NA,NA,NA,NA
98,5,31,['2018-05-08'],423,239,423,bat,423,239,5203,423,15,NA,NA,NA,NA
99,5,15,['2018-05-09'],52,533,52,field,533,52,2419,533,102,NA,NA,NA,NA
100,5,33,['2018-05-10'],403,26,403,bat,403,26,2237,26,NA,9,NA,NA,NA
101,5,31,['2018-05-11'],423,534,534,bat,534,423,5203,423,NA,4,NA,NA,NA
102,5,34,['2018-05-12'],239,52,239,field,52,239,9356,52,31,NA,NA,NA,NA
103,5,33,['2018-05-12'],403,283,283,field,403,283,8304,283,NA,5,NA,NA,NA
104,5,3,['2018-05-13'],534,26,534,field,26,534,2864,534,NA,8,NA,NA,NA
105,5,4,['2018-05-13'],533,423,423,field,533,423,5203,423,NA,7,NA,NA,NA
106,5,34,['2018-05-14'],239,283,283,field,239,283,3286,283,NA,10,NA,NA,NA
107,5,15,['2018-05-15'],52,423,52,field,423,52,2405,52,NA,6,NA,NA,NA
108,5,4,['2018-05-16'],533,239,239,field,533,239,2125,533,3,NA,NA,NA,NA
109,5,14,['2018-05-17'],283,26,26,field,283,26,8304,283,14,NA,NA,NA,NA
110,5,33,['2018-05-18'],403,534,534,field,403,534,2790,403,34,NA,NA,NA,NA
111,5,31,['2018-05-19'],423,283,423,bat,423,283,2322,423,30,NA,NA,NA,NA
112,5,21,['2018-05-19'],26,52,26,bat,26,52,7672,52,NA,5,NA,NA,NA
113,5,33,['2018-05-20'],403,533,403,bat,403,533,2545,403,11,NA,NA,NA,NA
114,5,3,['2018-05-20'],534,239,534,field,239,534,8738,534,NA,5,NA,NA,NA
115,5,4,['2018-05-22'],26,534,534,field,26,534,8260,534,NA,2,NA,NA,NA
116,5,15,['2018-05-23'],52,423,423,field,52,423,9394,52,25,NA,NA,NA,NA
117,5,15,['2018-05-25'],52,26,52,field,26,52,3949,26,14,NA,NA,NA,NA
118,5,4,['2018-05-27'],534,26,534,field,26,534,8034,534,NA,8,NA,NA,NA
119,5,32,['2019-03-23'],534,283,534,field,283,534,2391,534,NA,7,NA,NA,NA
120,5,15,['2019-03-24'],52,26,52,field,26,52,9394,52,NA,6,NA,NA,NA
121,5,4,['2019-03-24'],533,403,533,field,403,533,2852,403,37,NA,NA,NA,NA
122,5,31,['2019-03-25'],423,239,423,field,239,423,9246,239,14,NA,NA,NA,NA
123,5,33,['2019-03-26'],403,534,403,bat,403,534,8034,534,NA,6,NA,NA,NA
124,5,15,['2019-03-27'],52,239,239,field,52,239,9394,52,28,NA,NA,NA,NA
125,5,14,['2019-03-28'],283,533,283,field,533,283,2125,533,6,NA,NA,NA,NA
126,5,21,['2019-03-29'],26,423,423,bat,423,26,3949,26,NA,5,NA,NA,NA
127,5,19,['2019-03-30'],239,533,239,field,533,239,2148,239,NA,8,NA,NA,NA
128,5,33,['2019-03-30'],403,52,403,field,52,403,2728,TIE,NA,NA,NA,NA,NA
129,5,21,['2019-03-31'],26,283,283,field,26,283,5482,26,118,NA,NA,NA,NA
130,5,32,['2019-03-31'],534,423,423,field,534,423,2235,534,8,NA,NA,NA,NA
131,5,19,['2019-04-01'],239,403,403,field,239,403,5420,239,14,NA,NA,NA,NA
132,5,31,['2019-04-02'],423,283,423,field,283,423,2322,423,NA,7,NA,NA,NA
133,5,4,['2019-04-03'],533,534,534,field,533,534,2855,533,37,NA,NA,NA,NA
134,5,33,['2019-04-04'],403,26,26,field,403,26,5482,26,NA,5,NA,NA,NA
135,5,14,['2019-04-05'],283,52,52,field,283,52,9394,52,NA,5,NA,NA,NA
136,5,32,['2019-04-06'],534,239,534,bat,534,239,2391,534,22,NA,NA,NA,NA
137,5,21,['2019-04-06'],26,533,26,field,533,26,9283,533,40,NA,NA,NA,NA
138,5,14,['2019-04-07'],283,403,403,field,283,403,8933,403,NA,4,NA,NA,NA
139,5,31,['2019-04-07'],423,52,52,field,423,52,5898,52,NA,8,NA,NA,NA
140,5,19,['2019-04-08'],239,26,239,field,26,239,2974,239,NA,6,NA,NA,NA
141,5,32,['2019-04-09'],534,52,534,field,52,534,2287,534,NA,7,NA,NA,NA
142,5,4,['2019-04-10'],533,239,533,field,239,533,9370,533,NA,3,NA,NA,NA
143,5,31,['2019-04-11'],423,534,534,field,423,534,2235,534,NA,4,NA,NA,NA
144,5,15,['2019-04-12'],52,403,403,field,52,403,2237,403,NA,7,NA,NA,NA
145,5,4,['2019-04-13'],533,423,423,field,533,423,5203,423,NA,4,NA,NA,NA
146,5,19,['2019-04-13'],239,283,283,field,239,283,8304,283,NA,8,NA,NA,NA
147,5,15,['2019-04-14'],52,534,534,field,52,534,8473,534,NA,5,NA,NA,NA
148,5,21,['2019-04-14'],26,403,26,field,403,26,9383,403,39,NA,NA,NA,NA
149,5,4,['2019-04-15'],533,283,533,field,283,533,4634,533,NA,5,NA,NA,NA
150,5,19,['2019-04-16'],239,423,423,field,239,423,2079,239,12,NA,NA,NA,NA
151,5,21,['2019-04-17'],26,534,534,bat,534,26,8038,26,NA,6,NA,NA,NA
152,5,33,['2019-04-18'],403,533,533,bat,533,403,2855,533,40,NA,NA,NA,NA
153,5,15,['2019-04-19'],52,283,52,field,283,52,2422,283,10,NA,NA,NA,NA
154,5,31,['2019-04-20'],423,533,423,field,533,423,7901,423,NA,5,NA,NA,NA
155,5,33,['2019-04-20'],403,239,403,field,239,403,2413,403,NA,5,NA,NA,NA
156,5,21,['2019-04-21'],26,52,26,field,52,26,2136,26,NA,9,NA,NA,NA
157,5,14,['2019-04-21'],283,534,534,field,283,534,2783,283,1,NA,NA,NA,NA
158,5,31,['2019-04-22'],423,403,403,field,423,403,2852,403,NA,6,NA,NA,NA
159,5,32,['2019-04-23'],534,26,534,field,26,534,8034,534,NA,6,NA,NA,NA
160,5,14,['2019-04-24'],283,239,239,field,283,239,8304,283,17,NA,NA,NA,NA
161,5,15,['2019-04-25'],52,423,423,field,52,423,2177,423,NA,3,NA,NA,NA
162,5,32,['2019-04-26'],534,533,534,field,533,534,2818,533,46,NA,NA,NA,NA
163,5,31,['2019-04-27'],423,26,423,field,26,423,3013,423,NA,7,NA,NA,NA
164,5,33,['2019-04-28'],403,283,403,bat,403,283,2237,403,16,NA,NA,NA,NA
165,5,15,['2019-04-28'],52,533,533,field,52,533,9394,52,34,NA,NA,NA,NA
166,5,21,['2019-04-29'],26,239,239,field,26,239,8038,26,45,NA,NA,NA,NA
167,5,14,['2019-04-30'],283,423,423,field,283,423,NA,NA,NA,NA,NA,NA,NA
168,5,32,['2019-05-01'],534,403,403,field,534,403,2235,534,80,NA,NA,NA,NA
169,5,4,['2019-05-02'],533,26,533,bat,533,26,2125,TIE,NA,NA,NA,NA,NA
170,5,19,['2019-05-03'],239,52,52,field,239,52,2702,52,NA,7,NA,NA,NA
171,5,33,['2019-05-04'],403,423,423,bat,423,403,2545,403,NA,5,NA,NA,NA
172,5,14,['2019-05-04'],283,26,283,field,26,283,9269,283,NA,4,NA,NA,NA
173,5,19,['2019-05-05'],239,534,239,field,534,239,2974,239,NA,6,NA,NA,NA
174,5,4,['2019-05-05'],533,52,533,field,52,533,2855,533,NA,9,NA,NA,NA
175,5,32,['2019-05-07'],533,534,534,bat,534,533,3291,533,NA,6,NA,NA,NA
176,5,24,['2019-05-08'],403,26,403,field,26,403,2852,403,NA,2,NA,NA,NA
177,5,24,['2019-05-10'],534,403,534,field,403,534,8260,534,NA,6,NA,NA,NA
178,5,21,['2019-05-12'],533,534,533,bat,533,534,2125,533,1,NA,NA,NA,NA
179,5,9,['2020-09-19'],533,534,534,field,533,534,2864,534,NA,5,NA,NA,NA
180,5,20,['2020-09-20'],403,239,239,field,403,239,7861,TIE,NA,NA,NA,NA,NA
181,5,9,['2020-10-21'],52,283,52,bat,52,283,2534,283,NA,8,NA,NA,NA
182,5,10,['2020-11-03'],533,26,26,field,533,26,2636,26,NA,10,NA,NA,NA
183,5,10,['2020-09-22'],423,534,534,field,423,534,2926,423,16,NA,NA,NA,NA
184,5,9,['2020-10-24'],52,403,403,field,52,403,3039,52,59,NA,NA,NA,NA
185,5,20,['2020-10-24'],239,26,26,field,239,26,6252,239,12,NA,NA,NA,NA
186,5,9,['2020-10-28'],283,533,533,field,283,533,3291,533,NA,5,NA,NA,NA
187,5,10,['2020-10-09'],403,423,423,field,403,423,2079,403,46,NA,NA,NA,NA
188,5,9,['2020-10-07'],52,534,52,bat,52,534,2983,52,10,NA,NA,NA,NA
189,5,10,['2020-10-31'],283,26,26,field,283,26,2919,26,NA,5,NA,NA,NA
190,5,9,['2020-10-01'],533,239,239,field,533,239,9370,533,48,NA,NA,NA,NA
191,5,20,['2020-09-30'],52,423,423,field,52,423,2716,52,37,NA,NA,NA,NA
192,5,9,['2020-11-02'],283,403,403,field,283,403,8723,403,NA,6,NA,NA,NA
193,5,9,['2020-11-01'],239,534,534,field,239,534,2365,534,NA,9,NA,NA,NA
194,5,20,['2020-10-11'],26,423,26,bat,26,423,2997,423,NA,5,NA,NA,NA
195,5,9,['2020-09-23'],533,52,52,field,533,52,2818,533,49,NA,NA,NA,NA
196,5,10,['2020-10-17'],534,403,534,bat,534,403,2237,403,NA,5,NA,NA,NA
