match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
85,5,27,['2018-04-28'],531,336,336,field,2818,336,NA,8,NA,NA,NA
86,5,12,['2018-04-29'],60,103,103,bat,2049,103,11,NA,NA,NA,NA
87,5,23,['2018-04-29'],359,69,69,field,7672,69,NA,6,NA,NA,NA
88,5,27,['2018-04-30'],531,238,238,field,8034,531,13,NA,NA,NA,NA
89,5,23,['2018-05-01'],359,336,336,field,1997,359,14,NA,NA,NA,NA
90,5,1,['2018-05-02'],238,60,60,field,2852,238,4,NA,NA,NA,NA
91,5,23,['2018-05-03'],69,531,69,field,9356,69,NA,6,NA,NA,NA
92,5,9,['2018-05-04'],479,336,336,field,3291,336,NA,6,NA,NA,NA
93,5,27,['2018-05-05'],531,359,531,field,2481,531,NA,6,NA,NA,NA
94,5,31,['2018-05-05'],103,238,238,bat,3949,103,NA,7,NA,NA,NA
95,5,25,['2018-05-06'],336,69,69,field,2855,336,13,NA,NA,NA,NA
96,5,9,['2018-05-06'],479,60,479,field,604,479,NA,6,NA,NA,NA
97,5,31,['2018-05-07'],103,359,359,field,2049,103,5,NA,NA,NA,NA
98,5,12,['2018-05-08'],60,479,60,bat,5203,60,15,NA,NA,NA,NA
99,5,23,['2018-05-09'],69,336,69,field,2419,336,102,NA,NA,NA,NA
100,5,1,['2018-05-10'],238,103,238,bat,2237,103,NA,9,NA,NA,NA
101,5,12,['2018-05-11'],60,531,531,bat,5203,60,NA,4,NA,NA,NA
102,5,9,['2018-05-12'],479,69,479,field,9356,69,31,NA,NA,NA,NA
103,5,1,['2018-05-12'],238,359,359,field,8304,359,NA,5,NA,NA,NA
104,5,27,['2018-05-13'],531,103,531,field,2864,531,NA,8,NA,NA,NA
105,5,25,['2018-05-13'],336,60,60,field,5203,60,NA,7,NA,NA,NA
106,5,9,['2018-05-14'],479,359,359,field,3286,359,NA,10,NA,NA,NA
107,5,23,['2018-05-15'],69,60,69,field,2405,69,NA,6,NA,NA,NA
108,5,25,['2018-05-16'],336,479,479,field,2125,336,3,NA,NA,NA,NA
109,5,23,['2018-05-17'],359,103,103,field,8304,359,14,NA,NA,NA,NA
110,5,1,['2018-05-18'],238,531,531,field,2790,238,34,NA,NA,NA,NA
111,5,12,['2018-05-19'],60,359,60,bat,2322,60,30,NA,NA,NA,NA
112,5,31,['2018-05-19'],103,69,103,bat,7672,69,NA,5,NA,NA,NA
113,5,1,['2018-05-20'],238,336,238,bat,1586,238,11,NA,NA,NA,NA
114,5,27,['2018-05-20'],531,479,531,field,8738,531,NA,5,NA,NA,NA
115,5,25,['2018-05-22'],103,531,531,field,8260,531,NA,2,NA,NA,NA
116,5,23,['2018-05-23'],69,60,60,field,9394,69,25,NA,NA,NA,NA
117,5,23,['2018-05-25'],69,103,69,field,3949,103,14,NA,NA,NA,NA
118,5,25,['2018-05-27'],531,103,531,field,8034,531,NA,8,NA,NA,NA
119,5,33,['2019-03-23'],531,359,531,field,2391,531,NA,7,NA,NA,NA
120,5,23,['2019-03-24'],69,103,69,field,9394,69,NA,6,NA,NA,NA
121,5,25,['2019-03-24'],336,536,336,field,2852,536,37,NA,NA,NA,NA
122,5,12,['2019-03-25'],60,479,60,field,9246,479,14,NA,NA,NA,NA
123,5,1,['2019-03-26'],536,531,536,bat,8034,531,NA,6,NA,NA,NA
