team_id,team_name,team_label
218,Sunrisers Hyderabad,SH
219,Kent 2nd XI,K2X
220,Kalutara Town Club,KTC
221,England Under-19s,EU
222,Cardiff MCCU,CM
223,Queensland Academy of Sport,QAoS
224,Sri Lanka Navy Sports Club,SLNSC
225,Sargodha,S
226,Dorset,D
227,Sri Lanka Women,SLW
228,Singha Sports Club,SSC
229,South Australia,SA
230,Malaysia Women,MW
231,Northern Districts Women,NDW
232,Afghanistan,A
233,Antonians Sports Club,ASC
234,Galle Cricket Club,GCC
235,Malaysia Under-15s,MU
236,Leeward Islands,LI
237,Essex Under-17s,EU
238,Surrey Cricket Board,SCB
239,British Universities,BU
240,Sussex Cricket Board,SCB
241,Border Under-19s,BU
242,Badulla & Monaragala Combine Schools,B&MCS
243,Islamabad Cricket Association,ICA
244,South Africa Under-19s,SAU
245,Uttar Pradesh,UP
246,Rangpur Riders,RR
247,Mpumalanga Under-19s,MU
248,KwaZulu-Natal Inland Under-15s,KIU
249,Durham 2nd XI,D2X
250,Gloucestershire 2nd XI,G2X
251,Titans,T
252,Wayamba,W
253,Malaysia,M
254,Norfolk,N
255,Unicorns,U
256,Griqualand West Under-17s,GWU
257,Easterns,E
258,Oxfordshire,O
259,South Australia Second XI,SASX
260,Middlesex Cricket Board,MCB
261,Redco Pakistan Ltd,RPL
262,Saurashtra,S
263,Rest of Punjab,RoP
264,Faisalabad,F
265,Dhaka Gladiators,DG
266,Sydney Thunder,ST
267,Karachi Dolphins,KD
268,Cambridgeshire,C
269,Canterbury,C
270,Moratuwa Sports Club Women,MSCW
271,Antigua and Barbuda,AaB
272,Manicaland,M
273,Sui Northern Gas Pipelines Limited,SNGPL
274,Australian Capital Territory Women,ACTW
275,Border Under-13s,BU
276,Punjab,P
277,Karachi Blues,KB
278,Worcestershire 2nd XI,W2X
279,Essex Cricket Board,ECB
280,Trinidad & Tobago Under-19s,T&TU
281,Free State Under-15s,FSU
282,Somerset 2nd XI,S2X
283,Gujarat,G
284,Western Australia Under-19s,WAU
285,Nottinghamshire 2nd XI,N2X
286,Adelaide Strikers,AS
287,Abbottabad,A
288,Lahore Division,LD
289,Westerns,W
290,Northerns (Zimbabwe),N(
291,Sri Lanka Board Presidents XI,SLBPX
292,Australia Under-19s,AU
293,Dhaka Division,DD
294,Yorkshire 2nd XI,Y2X
295,Pakistan Customs,PC
296,ICC World XI,IWX
297,Chilaw Marians Cricket Club,CMCC
298,Multan,M
299,Nepal Under-19s,NU
300,Assam,A
301,Lahore Eagles,LE
302,Eagles,E
303,Burgher Recreation Club,BRC
304,Northerns,N
305,South Africa,SA
306,Australia,A
307,United States of America Under-19s,USoAU
308,Netherlands Under-19s,NU
309,Delhi Under-19s,DU
310,Wellington,W
311,England Women,EW
312,Ruhuna,R
313,Hyderabad Under-19s,HU
314,Marylebone Cricket Club Universities,MCCU
315,Sussex 2nd XI,S2X
316,Northerns Under-13s,NU
317,Tripura,T
318,Ananda College,AC
319,British Guiana,BG
320,Marylebone Cricket Club Young Cricketers,MCCYC
321,Southern Ladies Cricket Club,SLCC
322,Mumbai,M
323,New South Wales Under-19s,NSWU
324,Yorkshire,Y
325,West Indies A,WIA
326,Sui Gas Corporation of Pakistan,SGCoP
327,Barbados Tridents,BT
328,Mpumalanga Under-15s,MU
329,Limpopo Under-13s,LU
330,Water and Power Development Authority,WaPDA
331,Australian Country XI,ACX
332,Sylhet Division,SD
333,Lancashire,L
334,Basnahira South,BS
335,Scotland Under-15s,SU
336,Bangladesh Under-19s,BU
337,Boland,B
338,Gauteng Under-15s,GU
339,Hong Kong,HK
340,Royal Challengers Bangalore,RCB
341,Karnataka,K
342,Philadelphians,P
343,Melbourne Renegades,MR
344,Centrals,C
345,Madhya Pradesh,MP
346,Ireland Under-13s,IU
347,Central Districts Women,CDW
348,Mashonaland Eagles,ME
349,Middlesex,M
350,Sydney Sixers,SS
351,Sialkot Cricket Association,SCA
352,Netherlands Under-15s,NU
353,Karachi Kings,KK
354,Australian Cricket Academy,ACA
355,Australian Capital Territory,ACT
356,Yorkshire Women,YW
357,Gauteng Under-13s,GU
358,Nalanda College,NC
359,Trinbago Knight Riders,TKR
360,Bahawalpur Stags,BS
361,Surrey,S
362,Karachi,K
363,Barbados Under-19s,BU
364,Eastern Province Under-19s,EPU
365,Lanka Womens Cricket Club,LWCC
366,Easterns Under-17s,EU
367,Limpopo Under-17s,LU
368,Western Australia,WA
369,Mid West Rhinos,MWR
370,Basnahira North,BN
371,Victoria Institute of Sport,VIoS
372,Bangladesh Under-17s,BU
373,Zarai Taraqiati Bank Limited,ZTBL
374,India,I
375,Surrey 2nd XI,S2X
376,Eastern Province Under-17s,EPU
377,Assam Under-16s,AU
378,Seeduwa Raddoluwa Cricket Club,SRCC
379,Madhya Pradesh Under-16s,MPU
380,State Bank of Pakistan,SBoP
381,St Kitts and Nevis Patriots,SKaNP
382,Western Province,WP
383,Cape Cobras,CC
384,Sialkot,S
385,Gujranwala Cricket Association,GCA
386,England,E
387,Delhi,D
388,Victoria,V
389,Kolkata Knight Riders,KKR
390,Northamptonshire 2nd XI,N2X
391,Warwickshire 2nd XI,W2X
392,Hong Kong Women,HKW
393,Jammu & Kashmir,J&K
394,Cambridge MCCU,CM
395,Northerns Under-17s,NU
396,Railways,R
397,Zimbabwe Women,ZW
398,Worcestershire,W
399,St Aloysius College,SAC
400,Boland Under-19s,BU
401,Lions,L
402,Griqualand West,GW
403,KwaZulu-Natal Inland Under-17s,KIU
404,Mumbai Under-19s,MU
405,Queensland Under-19s,QU
406,Sialkot Stallions,SS
407,Panadura Sports Club,PSC
408,Canada,C
409,Kent,K
410,Sri Lanka Cricket Development XI,SLCDX
411,Western Australia Under-17s,WAU
412,Minor Counties,MC
413,KwaZulu-Natal,K
414,Pakistan A,PA
415,Pakistan Television,PT
416,Durham MCCU,DM
417,Perth Scorchers,PS
418,Abbottabad Rhinos,AR
419,Lahore Ravi,LR
420,Cornwall,C
421,Herefordshire,H
422,Brisbane Heat,BH
423,Sebastianites Cricket and Athletic Club,SCaAC
424,Easterns Under-13s,EU
425,Amo Region,AR
426,Tamil Nadu,TN
427,Lankan Cricket Club,LCC
428,Khan Research Labs,KRL
429,Lahore Qalandars,LQ
430,Victoria Under-23s,VU
431,Kings XI Punjab,KXP
432,Scotland,S
433,Cheshire,C
434,United Arab Emirates,UAE
435,Pune Warriors,PW
436,Police Sports Club,PSC
437,Canada Women,CW
438,Mannar-Vavuniya Combined Schools,MCS
439,Sri Lanka Under-15s,SLU
440,Multan Sultans,MS
441,Royal College,RC
442,Afghanistan Under-19s,AU
443,Victoria Under-19s,VU
444,Lancashire 2nd XI,L2X
445,Lahore Shalimar,LS
446,Belagavi Panthers,BP
447,North West Under-15s,NWU
448,KwaZulu-Natal Under-17s,KU
449,Warwickshire Cricket Board,WCB
450,Glamorgan 2nd XI,G2X
451,Devon,D
452,West Indies B,WIB
453,Goa Under-16s,GU
454,Orissa,O
455,Zimbabwe,Z
456,Nepal,N
457,Ireland Under-19s,IU
458,New South Wales Under-17s,NSWU
459,KwaZulu-Natal Under-15s,KU
460,Speen Ghar Region,SGR
461,KwaZulu-Natal Under-19s,KU
462,Delhi Daredevils,DD
463,Chittagong Division,CD
464,Baroda,B
465,Colts Cricket Club Women,CCCW
466,Hyderabad (Pakistan),H(
467,South Australia Under-19s,SAU
468,Ragama Cricket Club,RCC
469,Jamaica Under-19s,JU
470,Arunachal Pradesh,AP
471,Transvaal,T
472,Lahore Whites,LW
473,Gauteng Under-19s,GU
474,Zimbabwe Under-19s,ZU
475,Kerala,K
476,Asia XI,AX
477,Netherlands Under-13s,NU
478,Northumberland,N
479,Schools Invitation XI,SIX
480,Quetta Bears,QB
481,Easterns Under-15s,EU
482,London County,LC
483,Sri Lanka Air Force Sports Club,SLAFSC
484,Boost Region,BR
485,Kurunegala Youth Cricket Club,KYCC
486,Leicestershire,L
487,Ireland A,IA
488,Rangpur Division,RD
489,Puducherry,P
490,Sinhalese Sports Club,SSC
491,Nittabuwa Ladies,NL
492,Surrey Under-17s,SU
493,Natal,N
494,University Sports South Africa XI,USSAX
495,New South Wales Second XI,NSWSX
496,Hobart Hurricanes,HH
497,Islamabad,I
498,Bangladesh Cricket Board Academy,BCBA
499,Durham Cricket Board,DCB
500,Lahore Lions,LL
501,Combined Campuses and Colleges,CCaC
502,Gauteng Under-17s,GU
503,Boland Under-17s,BU
504,Jamaica Tallawahs,JT
505,Uttar Pradesh Under-19s,UPU
506,Tasmania Under-23s,TU
507,West Indies Women,WIW
508,Griqualand West Under-13s,GWU
509,Maris Stella College,MSC
510,Sri Lanka Under-19s,SLU
511,Pakistan International Airlines,PIA
512,Punjab Under-19s,PU
513,Queensland,Q
514,Quetta Gladiators,QG
515,New South Wales Country,NSWC
516,Pakistan,P
517,Bedfordshire,B
518,Wiltshire,W
519,Peshawar Zalmi,PZ
520,Matara Sports Club,MSC
521,Canada Under-19s,CU
522,Auckland,A
523,Border,B
524,North West Under-13s,NWU
525,Eastern Province Under-15s,EPU
526,Zimbabwe Under-13s,ZU
527,Wellington Women,WW
528,Northern Districts,ND
529,Pakistan National Shipping Corporation,PNSC
530,Peshawar Cricket Association,PCA
531,Warriors,W
532,Surrey Under-15s,SU
533,Guyana Amazon Warriors,GAW
534,Eastern Province Under-13s,EPU
535,Bengal Under-19s,BU
536,Staffordshire,S
537,Free State Under-17s,FSU
538,Victoria Country,VC
539,Jamaica,J
540,Nondescripts Cricket Club,NCC
541,Zimbabwe A,ZA
542,FOG-Seenigama Ladies,FL
543,Chhattisgarh,C
544,South Australia Under-17s,SAU
545,KwaZulu-Natal Inland,KI
546,Multan Tigers,MT
547,Bijapur Bulls,BB
548,Canterbury Women,CW
549,Sussex,S
550,Huntingdonshire,H
551,Tamil Union Cricket and Athletic Club,TUCaAC
552,Hampshire 2nd XI,H2X
553,India Women,IW
554,Otago,O
555,Guyana,G
556,New Zealand A,NZA
557,University of West Indies Vice Chancellors XI,UoWIVCX
558,Cumberland,C
559,United Bank Limited,UBL
560,Northerns Under-19s,NU
561,Moors Sports Club,MSC
562,Hampshire,H
563,Victoria Second XI,VSX
564,South Western Districts Women,SWDW
565,Bloomfield Cricket and Athletic Club,BCaAC
566,Chennai Super Kings,CSK
567,Rajasthan,R
568,Western Province Under-19s,WPU
569,Goa Under-19s,GU
570,New Zealand Under-19s,NZU
571,Mashonaland,M
572,Hyderabad Hawks,HH
573,Shropshire,S
574,Kochi Tuskers Kerala,KTK
575,Sri Lanka Army Sports Club,SLASC
576,Penang,P
577,Dhaka Metropolis,DM
578,Mangalore United,MU
579,Lincolnshire,L
580,University of New South Wales,UoNSW
581,Deccan Chargers,DC
582,Queensland Women,QW
583,New Zealand,NZ
584,Moratuwa Sports Club,MSC
585,Rawalpindi Rams,RR
586,Baroda Under-19s,BU
587,Cambridge University,CU
